Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
88,Entry long,2025-10-27 10:30,Long,183.08,149,27278.92,-1299.28,-4.76,166.88,0.61,-1299.28,-4.76,16044.48,160.44
89,Exit long,2025-11-06 10:15,Exit,198.79,135,25979.4,857.25,3.30,1493.1,5.75,-41.85,-0.16,16901.73,169.02
89,Entry long,2025-11-05 10:30,Long,192.44,135,25979.4,857.25,3.30,1493.1,5.75,-41.85,-0.16,16901.73,169.02
90,Exit long,2025-11-10 10:15,Exit,212.97,133,26721.03,1603.98,6.00,1603.98,6.00,-375.06,-1.40,18505.71,185.06
90,Entry long,2025-11-07 14:45,Long,200.91,133,26721.03,1603.98,6.00,1603.98,6.00,-375.06,-1.40,18505.71,185.06
91,Exit long,2025-11-20 11:15,Exit,197.58,149,28488.8,950.62,3.34,1674.76,5.88,-967.01,-3.39,19456.33,194.56
91,Entry long,2025-11-19 10:15,Long,191.2,149,28488.8,950.62,3.34,1674.76,5.88,-967.01,-3.39,19456.33,194.56
92,Exit long,2025-11-24 09:45,Exit,188.56,165,29350.2,1762.2,6.00,1762.2,6.00,0,0.00,21218.53,212.19
92,Entry long,2025-11-21 15:45,Long,177.88,165,29350.2,1762.2,6.00,1762.2,6.00,0,0.00,21218.53,212.19
93,Exit long,2025-12-01 09:30,Exit,195.69,156,31087.68,-560.04,-1.80,803.4,2.58,-560.04,-1.80,20658.49,206.58
93,Entry long,2025-11-26 10:30,Long,199.28,156,31087.68,-560.04,-1.80,803.4,2.58,-560.04,-1.80,20658.49,206.58
94,Exit long,2025-12-05 11:00,Exit,196.35,156,30600.96,29.64,0.10,695.76,2.27,-316.68,-1.03,20688.13,206.88
94,Entry long,2025-12-04 10:30,Long,196.16,156,30600.96,29.64,0.10,695.76,2.27,-316.68,-1.03,20688.13,206.88
95,Exit long,2025-12-09 10:30,Exit,214.84,145,30595,556.8,1.82,1267.3,4.14,-450.95,-1.47,21244.93,212.45
95,Entry long,2025-12-08 13:00,Long,211,145,30595,556.8,1.82,1267.3,4.14,-450.95,-1.47,21244.93,212.45
96,Exit long,2025-12-10 15:45,Exit,221.62,141,31070.76,177.66,0.57,824.85,2.65,-587.97,-1.89,21422.59,214.23
96,Entry long,2025-12-10 11:30,Long,220.36,141,31070.76,177.66,0.57,824.85,2.65,-587.97,-1.89,21422.59,214.23
97,Exit long,2025-12-11 12:15,Exit,231.74,135,31253.85,31.05,0.10,1102.95,3.53,-361.8,-1.16,21453.64,214.54
97,Entry long,2025-12-11 10:30,Long,231.51,135,31253.85,31.05,0.10,1102.95,3.53,-361.8,-1.16,21453.64,214.54
98,Exit long,2025-12-19 13:00,Exit,225.35,147,31250.73,1875.72,6.00,1875.72,6.00,-499.8,-1.60,23329.36,233.29
98,Entry long,2025-12-18 10:30,Long,212.59,147,31250.73,1875.72,6.00,1875.72,6.00,-499.8,-1.60,23329.36,233.29
99,Exit long,2025-12-31 15:45,Exit,232.67,139,33325.25,-984.12,-2.95,69.5,0.21,-984.12,-2.95,22345.24,223.45
99,Entry long,2025-12-30 09:30,Long,239.75,139,33325.25,-984.12,-2.95,69.5,0.21,-984.12,-2.95,22345.24,223.45
100,Exit long,2026-01-06 15:45,Exit,254.4,134,32160,1929.6,6.00,1929.6,6.00,-406.02,-1.26,24274.84,242.75
100,Entry long,2026-01-06 10:15,Long,240,134,32160,1929.6,6.00,1929.6,6.00,-406.02,-1.26,24274.84,242.75
101,Exit long,2026-01-13 09:45,Exit,243.15,149,34177.62,2051.73,6.00,2051.73,6.00,-861.22,-2.52,26326.57,263.27
101,Entry long,2026-01-09 15:30,Long,229.38,149,34177.62,2051.73,6.00,2051.73,6.00,-861.22,-2.52,26326.57,263.27
102,Exit long,2026-01-29 09:45,Exit,254.05,143,36293.4,35.75,0.10,810.81,2.23,-204.49,-0.56,26362.32,263.62
102,Entry long,2026-01-28 13:15,Long,253.8,143,36293.4,35.75,0.10,810.81,2.23,-204.49,-0.56,26362.32,263.62
103,Exit long,2026-02-02 15:00,Exit,263.59,138,36339.54,35.88,0.10,1069.5,2.94,-222.18,-0.61,26398.2,263.98
103,Entry long,2026-02-02 10:15,Long,263.33,138,36339.54,35.88,0.10,1069.5,2.94,-222.18,-0.61,26398.2,263.98
104,Exit long,2026-02-20 09:30,Exit,329.74,117,36395.19,2184.39,6.00,2184.39,6.00,-900.9,-2.48,28582.59,285.83
104,Entry long,2026-02-18 11:00,Long,311.07,117,36395.19,2184.39,6.00,2184.39,6.00,-900.9,-2.48,28582.59,285.83
105,Exit long,2026-02-27 15:45,Open,348.68,109,38266.63,-260.51,-0.68,143.88,0.38,-1175.02,-3.07,28322.08,283.22
105,Entry long,2026-02-27 10:15,Long,351.07,109,38266.63,-260.51,-0.68,143.88,0.38,-1175.02,-3.07,28322.08,283.22
