Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
44,Entry long,2025-08-07 15:00,Long,139.28,104,14620.08,14.49,0.1,328.64,2.27,-289.07,-2.0,4634.57,46.35
45,Exit long,2025-08-22 11:15,Exit,131.6,111,14634.57,14.59,0.1,391.83,2.69,-290.82,-1.99,4649.16,46.49
45,Entry long,2025-08-20 15:00,Long,131.47,111,14634.57,14.59,0.1,391.83,2.69,-290.82,-1.99,4649.16,46.49
46,Exit long,2025-09-02 05:30,Exit,133.11,107,14649.16,-368.2,-2.52,0.0,0.0,-379.85,-2.6,4280.96,42.81
46,Entry long,2025-08-29 15:00,Long,136.55,107,14649.16,-368.2,-2.52,0.0,0.0,-379.85,-2.6,4280.96,42.81
47,Exit long,2025-09-09 17:15,Exit,149.38,101,14280.96,853.99,6.0,866.25,6.09,0.0,0.0,5134.95,51.35
47,Entry long,2025-09-09 15:15,Long,140.92,101,14280.96,853.99,6.0,866.25,6.09,0.0,0.0,5134.95,51.35
48,Exit long,2025-09-11 10:15,Exit,153.19,100,15134.95,203.73,1.35,516.5,3.42,-184.5,-1.22,5338.68,53.39
48,Entry long,2025-09-10 11:45,Long,151.16,100,15134.95,203.73,1.35,516.5,3.42,-184.5,-1.22,5338.68,53.39
49,Exit long,2025-09-11 18:45,Exit,154.11,99,15338.68,15.24,0.1,338.2,2.22,-94.41,-0.62,5353.92,53.54
49,Entry long,2025-09-11 15:15,Long,153.95,99,15338.68,15.24,0.1,338.2,2.22,-94.41,-0.62,5353.92,53.54
50,Exit long,2025-09-22 12:15,Exit,146.13,102,15353.92,-355.47,-2.33,62.22,0.41,-361.08,-2.37,4998.46,49.98
50,Entry long,2025-09-19 15:00,Long,149.61,102,15353.92,-355.47,-2.33,62.22,0.41,-361.08,-2.37,4998.46,49.98
51,Exit long,2025-10-06 14:00,Exit,150.56,100,14998.46,206.18,1.39,523.0,3.52,-348.0,-2.34,5204.63,52.05
51,Entry long,2025-10-03 10:15,Long,148.5,100,14998.46,206.18,1.39,523.0,3.52,-348.0,-2.34,5204.63,52.05
52,Exit long,2025-10-17 03:00,Exit,141.0,103,15204.63,-671.04,-4.42,9.27,0.06,-682.89,-4.49,4533.6,45.34
52,Entry long,2025-10-16 12:30,Long,147.51,103,15204.63,-671.04,-4.42,9.27,0.06,-682.89,-4.49,4533.6,45.34
53,Exit long,2025-10-30 04:45,Exit,163.19,91,14533.6,425.79,2.95,864.41,5.99,-169.35,-1.17,4959.38,49.59
53,Entry long,2025-10-28 14:15,Long,158.51,91,14533.6,425.79,2.95,864.41,5.99,-169.35,-1.17,4959.38,49.59
54,Exit long,2025-11-04 16:00,Exit,149.72,95,14959.38,-682.45,-4.58,1.9,0.01,-2291.4,-15.37,4276.93,42.77
54,Entry long,2025-11-04 10:30,Long,156.9,95,14959.38,-682.45,-4.58,1.9,0.01,-2291.4,-15.37,4276.93,42.77
55,Exit long,2026-01-02 11:45,Exit,133.29,107,14276.93,14.25,0.1,314.05,2.2,-271.24,-1.9,4291.18,42.91
55,Entry long,2025-12-29 11:00,Long,133.16,107,14276.93,14.25,0.1,314.05,2.2,-271.24,-1.9,4291.18,42.91
56,Exit long,2026-01-28 08:00,Exit,150.96,97,14291.18,394.2,2.77,596.65,4.19,-79.05,-0.55,4685.37,46.85
56,Entry long,2026-01-27 10:15,Long,146.9,97,14291.18,394.2,2.77,596.65,4.19,-79.05,-0.55,4685.37,46.85
