Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
30,Exit long,2025-06-04 08:45,Exit,261.55,40,10519.93,191.29,1.86,346.4,3.37,-67.79,-0.66,711.21,7.11
30,Entry long,2025-06-03 15:00,Long,256.77,40,10519.93,191.29,1.86,346.4,3.37,-67.79,-0.66,711.21,7.11
31,Exit long,2025-06-24 07:00,Exit,256.34,42,10711.21,266.7,2.54,500.22,4.76,-148.26,-1.41,977.91,9.78
31,Entry long,2025-06-20 15:00,Long,249.99,42,10711.21,266.7,2.54,500.22,4.76,-148.26,-1.41,977.91,9.78
32,Exit long,2025-07-01 10:00,Exit,263.81,40,10977.91,-347.4,-3.19,208.2,1.91,-355.81,-3.26,630.51,6.31
32,Entry long,2025-06-27 15:30,Long,272.5,40,10977.91,-347.4,-3.19,208.2,1.91,-355.81,-3.26,630.51,6.31
33,Exit long,2025-07-14 08:45,Exit,269.75,38,10630.51,-255.79,-2.43,194.56,1.85,-262.2,-2.5,374.72,3.75
33,Entry long,2025-07-07 10:30,Long,276.48,38,10630.51,-255.79,-2.43,194.56,1.85,-262.2,-2.5,374.72,3.75
34,Exit long,2025-07-16 08:45,Exit,276.63,37,10374.72,10.23,0.1,259.18,2.53,-43.85,-0.43,384.95,3.85
34,Entry long,2025-07-14 11:15,Long,276.36,37,10374.72,10.23,0.1,259.18,2.53,-43.85,-0.43,384.95,3.85
35,Exit long,2025-07-29 09:15,Exit,298.56,35,10384.95,266.91,2.62,394.1,3.87,-46.9,-0.46,651.85,6.52
35,Entry long,2025-07-25 11:15,Long,290.93,35,10384.95,266.91,2.62,394.1,3.87,-46.9,-0.46,651.85,6.52
36,Exit long,2025-07-31 12:15,Exit,294.91,35,10651.85,-231.7,-2.2,189.52,1.8,-273.18,-2.59,420.15,4.2
36,Entry long,2025-07-30 13:15,Long,301.54,35,10651.85,-231.7,-2.2,189.52,1.8,-273.18,-2.59,420.15,4.2
